id,title_norm,label_1
0,طراحی نقشه,3
1,مکانیک ماشین الات تعمیرات ونصب ماشین الات,7
2,کارشناس مسیول نظارت و ارزیابی امورعمرانی,2
3,نقاش درجه یک موقت,7
4,کاردان فنی برشکار,3
5,کارمند برنامه ریزی وآمار,4
6,کارگرمرتبه دونصب دروپنجره ونمای,7
7,اپراتوردستگاه بسته بندی خط کنسرو,8
8,اپراتوردستگاهای رنگرزی,8
9,تکنسین شبکه برق آبرسانی,3
10,تکنسین ماشین ابزار کارگاه تراش,3
11,رئیس اداره امور مشتریان ارتباطات سیار,1
12,سرپرست فنی موتورخانه,3
13,کارگرحمل ونقل تایرخام,9
14,کارگرخدمات شهری یک,9
15,اپراتور دستگاه خط لعاب,8
16,اپراتور دستگاه درب بند محصولات آرایشی,8
17,برداشت گندم وذرت,9
18,تکنسین هیدروژناسیون,3
19,سرپرست تعمیرات سخت افزار,3
20,سقطجمع کن پاره جمع کن,9
21,متصدی استخر,5
22,متصدی امورازمون مرکز و پذیرش کار اموزان,4
23,مدیرآموزش وروابط عمومی,1
24,کارشناس مدیریت فناوری اطلاعات,2
25,آرماتوربنددرجه آموزشی مهندسی,7
26,اپراتور پولورایز,8
27,بسته بندی و پاک کردن پسته,9
28,بلورساز دستی,7
29,تولیدـبرنامه ریزکارگاهی,3
30,تکنیسین تعمیرات مکانیک توربین,3
31,سرپرست امور پشتیبانی تولید,3
32,رییس تعمیرات ونکهداری,1
33,سرپرست شیفت شب,3
34,متصدی حفاظت فیزیکینگهبان,5
35,کارشناس گرافیک فضای مجازی,2
36,کارشناس کتابداریتاسیسات,2
37,کارشناس مسئول تنظیم,2
38,کارشناس کنترل کیفیت رنگ,2
39,کارشناس تعمیرات برق اتوماسیون وابزارذقیق ناحیه فولادسازی وری,2
40,کارشناس مسئول برنامه ریزی ونظارت اموزش تعاونیها,2
41,مقدمات اپراتورمایر,8
42,کشیک ارشد مجتمع,3
43,کمک اپراتور جرثقیل تلسکوپی,9
44,آرماتوربند ساختمان سیار,7
45,کمک سرشیفت عملیات,3
46,انجام امور حسابداری و مالی,4
47,کارشناس مسئول آزمایشگاه ریزآلاینده,2
48,طلا زن درجه 3 چینی,7
49,کارشناس مسئول شیفت شب,2
50,مسئول نمایندگی کارخانه قند,1
51,مکانیک خودرو های سبک,7
52,کارشناس ارشد مهندسی فرایند,2
53,کاردان خرید قطعات وتجهیزات برقی وابزار دقیق,3
54,مسئول برنامه ریزی و کنترل تعمیرات تجهیزات غیرتولیدی,3
55,برق کاروسیم کش هوائی,7
56,اپراتورکارخانه گازسی او,8
57,تکنسین تغذیه وخدمات غذائی,3
58,رییس دبیرخانه شورای تامین استان,1
59,عضو هییت مدیره کارخانجات کمک فنر ایندامین شرکت خودروسازی,1
60,سرکارگر برک پرس ساخت قطعات,3
61,مسئول امور زیربنائی,1
62,کارشناس اجارات و امور اقتصادی قادر ترقیخواه,2
63,کارشناس آماده سازی رنگ وسیلر قدیم,2
64,انباردار اموادشیمیایی پرس جوش ابکاری قالب,4
65,اپراتورخشک کن درجه 1,8
66,دامدار باغدار,6
67,کارگر لیچ محلول سازی,8
68,کارگر ماشین شوئی,9
69,ناظمه اقامتگاه رقیه همتی,5
70,کارگردستگاه بافندگی,8
71,کارگر تکمیل پتو,8
72,کارگر فنی ارشد,7
73,آرمیچرپیچ نگهداری و تعمیرات برق,7
74,اپراتور تابلو کنترل و کوره و کراچی,8
75,تکنسین ارشد دیتکس یارن پلی استر,3
76,رئیس دفتر مدیریت پروژه ها,1
77,رئیس سالن صنایع جانبی,1
78,رییس تعمیرات قبل از کوره ها,1
79,رییس دریافت و کنترل ورودی کالا,1
80,سرپرست نگهداری و تعمیرات ساخت و نقاشی,3
81,مسئول آرشیو فنی برنامه ریزی,4
82,مسئول ارزیابی,3
83,مسئول دفتر پشتیبانی و دبیرخانه محرمانه,3
84,کارشناس امورفرهنگی روابط عمومی,2
85,درپست کمک سرپرست هلیوگراو,3
86,رئیس دفترفنی نگهداری و تعمیرات,1
87,سرپرست تولید رنگکاری,3
88,سرپرست تکمیل سالن رنگرزی,3
89,سرپرست جانشین آزمایشگاه,3
90,متصدی خدمات اداری مامورابلاغ،نامه رسان,4
91,کارمندامور دفتری دبیرخانه,4
92,کارشناس مکاترونیک نت عملیات حرارتی,2
93,نماینده بیمه البرز,3
94,کارشناس مهندسی فرایند تشکیلات و روشها,2
95,کارشناس سایت آموزش,2
96,کارشناس سیستم های نظارت تصویری,2
97,کارگر انبار اقلام بسته بندی,9
98,اپراتور تولید پنیر پیتزا,8
99,اپراتور خدمات موتوری,8
100,تکنسین مسیول تعمیرات اضطراری kv پستهای فوق توزیع,3
101,سرماشین دستگاه استیکر کنترل پارچه,8
102,سرکارگرخشکن,3
103,سرکارگرژیگر,3
104,سرکارگرکارگاه ساخت کولرگازی,3
105,ماشینکاراستنتر,8
106,ماشینکارنیمه ماهرجوشان,8
107,مدیر امور بهره برداری و توسعه تاسیسات آب,1
108,مدیر امور دانشجویان شاهد وایثارگر,1
109,مدیر تامین منابع نالی طرح و توسعه,1
110,کارشناس مسئول هیدرولیک رسوب,2
111,مسئول توزین محصولات,4
112,مسئول توزین مرکزی,4
113,مسئول حسا بداری اداری و رفاه,2
114,کارشناس تعمیرات مکانیک ریخته گری,2
115,کاردان فنی هواشناسی,3
116,کارشناس توسعه شبکه و سخت افزار,2
117,معاون بهداشتی رئیس مرکز بهداشت,1
118,کاردان کنترل خروجی,3
119,کارمند کنترل کیفیت مواد اولیه و بسته بندی,3
120,اپراتور ارشدتولید,8
121,مسئول خط آبکاری,3
122,کارشناسفنی تولید,2
123,کارآموزمکانیک درجه 2 تکمیل,7
124,استادکار برق صنعتی,7
125,کنتورنویسی,9
126,کمک کارشناس آمار و برنامه ریزی,3
127,رئیس اداره منابع طبیعی کوهبنان,1
128,سرپرست آزمایشگاه ایکس ری,3
129,مامور برق و تهویه قطار,7
130,مامور سایپا دیزل,3
131,متخصص امنیت فناوری اطلاعات و ارتباطات,2
132,رییس دفتر مدیریت پروژه ها,1
