title_norm,label_1,isco_sub_major_group
مسئول ذهتابی و دباغی,7,75
مسئول رادیاتورسازی,7,72
مسئول رتوش تز ئینات برق و مکا نیک قا ئم به شا غل,7,73
مسئول رزوه,7,72
مسئول رفو,7,75
مسئول رلیاژ برق,7,74
مسئول رنگ آمیزی صنعتی و ماسه زنی,7,72
مسئول رنگ آمیزی محصول,7,72
مسئول رنگ اکستریور سایت شمال,7,71
مسئول رنگ رویه و رتوش کا بین,7,72
مسئول رنگ رویه و رتوش کابین دو و رتوش موضعی,7,72
مسئول رنگ سازچاپ کلندر,7,73
مسئول رنگ سازی روتاری چاپ اسکرین,7,73
مسئول رنگ وکیلرکاری چوب,7,75
مسئول رنگرزی تکمیل کتن,7,75
مسئول رنگرزی تکمیل گردباف,7,75
مسئول رو توش,7,75
مسئول روانکاری,7,72
مسئول روتوش برق و مکا نیک,7,72
مسئول روتوش تزئینات برق و مکانیک,7,73
مسئول روتوش تزئینات رنگ وتعمیرات موضعی,7,73
مسئول روتوش و تعویض قطعات قوای محرکه و انتقال خودروها,7,72
مسئول روزکارتعمیرات تاپس,7,75
مسئول روشنائی,7,74
مسئول روشنائی برق,7,74
مسئول روشنایی معابر,7,74
مسئول روشنایی و سیستم آلارم,7,74
مسئول روشنایی و سیستم هشدار دهنده,7,74
مسئول رولیاژ,7,74
مسئول رولیاژ بهره برداری پست ها و شبکه ها,7,74
مسئول روکش,7,75
مسئول روکش سفالسپورین خوراکی,7,75
مسئول روکش پنی سیلین خوراکی,7,75
مسئول رویه سازی نجاری,7,75
مسئول رویه کاری,7,75
مسئول ریخته گری برنج،ماهیچه گیری,7,72
مسئول ریگری,7,71
مسئول زیباسازی وتاسیسات,7,71
مسئول زیر سازی راهها,7,71
مسئول زیره بری,7,75
مسئول زیره سوارکنی,7,75
مسئول سا خت پا لت و قلاب,7,72
مسئول ساخت استریل,7,75
مسئول ساخت الکترود,7,72
مسئول ساخت خمیری و آرایش,7,75
مسئول ساخت داروئی مایع,7,75
مسئول ساخت درب وپنجره آهنی,7,72
مسئول ساخت دکل و نورافکن,7,72
مسئول ساخت روغن امولسیونشونده,7,75
مسئول ساخت شوینده ها و مایعات,7,75
مسئول ساخت ظروف حساس,7,73
مسئول ساخت غیراستریل پنی سیلین وی,7,75
مسئول ساخت قالب قطعات فلزی زون,7,72
مسئول ساخت قالب قطعات پلاستیکی,7,72
مسئول ساخت قطعات اپتیکی لیزر,7,73
مسئول ساخت قطعات تولید پیگیری سفارشات,7,72
مسئول ساخت مایعات,7,75
مسئول ساخت محصول لیزر فیبری پر توان,7,73
مسئول ساخت مواد خمیری,7,75
مسئول ساخت موادخمیری ارایشی,7,75
مسئول ساخت و احداث ایستگاه مترو,7,71
مسئول ساخت و تعمیرات پالت,7,75
مسئول ساخت و نوسازی فیکسچر و ابزار,7,72
مسئول ساخت و نوسازی مرتبه,7,72
مسئول ساخت وما شینکاری,7,72
مسئول ساخت وچاپ بطری,7,73
مسئول ساخت ویال و آمپول,7,73
مسئول ساخت پلاسی بیس,7,75
مسئول سازنده سودسوزاور,7,75
مسئول سالن سازی فنی,7,71
مسئول ساگار,7,73
مسئول سر ویس و تعمیرات تصفیه خا نه ها,7,72
مسئول سراجی,7,75
مسئول سربندی,7,71
مسئول سرمایش,7,72
مسئول سرویس خودروها گاراژ,7,72
مسئول سرویس روغن,7,72
مسئول سرویس نگهداری بافندگی,7,72
مسئول سرویس هاوتعمیرات پمپ ها,7,72
مسئول سرویس و پنچرگیری,7,72
مسئول سرویس وتعمیرات دیزل,7,72
مسئول سرویس ونگهداری شبکه فشارقوی برق,7,74
مسئول سرویس ونگهداری کمپرسورها,7,72
مسئول سرویسکار سالن استرچ,7,72
مسئول سرویسکاری وآپاراتی,7,72
مسئول سریکاری و cnc,7,72
مسئول سفیدگری قدیم رنگرزی,7,75
مسئول سمباده کار,7,72
مسئول سنباده,7,72
مسئول سنباده زنی,7,72
مسئول سند بلاست و رنگ,7,72
مسئول سنگ شکن وبتون ساز,7,71
مسئول سنگزنی ودریافت توزیع قطعات تولیدی,7,72
مسئول سوراخکاری,7,72
مسئول سیالات آب و گاز,7,71
مسئول سیلرزنی دو,7,75
مسئول سیلرکاری,7,75
مسئول سیلندرسازی وآبکاری,7,72
مسئول سیلک,7,73
مسئول سیم سازی,7,72
مسئول سیم پیچی,7,74
مسئول سیم پیچی موتورها,7,74
مسئول سیمهاوپایه هاخط هوائی ژ باقفلیها,7,74
مسئول شاسی سازی کمپ,7,72
مسئول شاسی سنگین,7,72
مسئول شاسی مکانیک,7,72
مسئول شاسی و زیربندی,7,72
مسئول شاقوکاری کوره های بخاروآهک,7,72
مسئول شانه سازی,7,75
مسئول شتتشو و رنگ آستری,7,72
مسئول شستشو و رنگ,7,72
مسئول شستشو والکتروفر وز,7,72
مسئول شستشولعاب,7,73
مسئول شستشوی موتوروزنگزدائی وروغنکاری,7,72
مسئول شستشوی کوئل,7,74
مسئول شعبه اتصال کولر,7,74
مسئول شعبه بخاری,7,74
مسئول شعبه شستشوی فسفاته,7,72
مسئول شعبه صافکاری رنگ,7,72
مسئول شعبه نجاری,7,75
مسئول شفت اسپلایسر,7,72
مسئول شوینده,7,75
مسئول شکل دهی آجر,7,73
مسئول شیرآلات,7,72
مسئول شیفت اببندی قالب,7,72
مسئول شیفت ایزوگام,7,71
مسئول شیفت برق رنگرزی متراژ دوزندگی,7,74
مسئول شیفت بورینگ وفرز,7,72
مسئول شیفت تعمیرات اضطراری خطوط,7,72
مسئول شیفت تعمیرات اضطراری عملیات ثانویه,7,72
مسئول شیفت تعمیرات اضطراری کوره های قوس الکتریکی وواحدهای جن,7,72
مسئول شیفت تعمیرات روشنایی و کابل,7,74
مسئول شیفت تعمیرات مدارماسه,7,72
مسئول شیفت تعمیرات مکانیکی کاغذ,7,72
مسئول شیفت تعمیرات گرم و اسلاید گیت پاتیل,7,72
مسئول شیفت تعمیرونگهداری,7,72
مسئول شیفت توربینهادیزل ژنراتور وتعمیرات,7,72
مسئول شیفت تولید ماشینکاری چدن,7,72
مسئول شیفت تولید و تعمیرات گالوانیزه و ورق رنگی,7,72
مسئول شیفت تولید گچ,7,75
مسئول شیفت تکمیل اتصالات ریخته گری,7,72
مسئول شیفت دوم با زسازی قطعات,7,72
مسئول شیفت دوم تا سیسات,7,71
مسئول شیفت ذوب و ریخته گری آلومینیوم,7,72
مسئول شیفت راهبری و تعمیرات اضطراری جرثقیلهای سقفی,7,72
مسئول شیفت ریخته گری مداوم فولادسازی,7,72
مسئول شیفت شب هلیوگراور,7,73
مسئول شیفت شبکه و پست ها,7,74
مسئول شیفت شیشه سه لایی,7,73
مسئول شیفت شیشه نشکن اتومبیل,7,73
مسئول شیفت شیشه نشکن ساختمان,7,71
مسئول شیفت صنایع مکانیک وبرق بنبوری,7,72
مسئول شیفت عملیات و تعمیرات بالابر,7,72
مسئول شیفت عملیات و تعمیرات پمپخانه,7,72
مسئول شیفت فرز بورینگ دریل,7,72
مسئول شیفت فیلم و چاپ,7,73
مسئول شیفت لمینت,7,73
مسئول شیفت ماهیچه گیری,7,72
مسئول شیفت مکانیزمهای خاص,7,72
مسئول شیفت مکانیزمهای عمومی,7,72
مسئول شیفت مکانیک سالن های تولید bopet,7,72
مسئول شیفت مکانیک سالن های تولید bopp cpp,7,72
مسئول شیفت مکانیک کوره و تاسیسات,7,72
مسئول شیفت نجاری درجه 2,7,75
مسئول شیفت نوسازی,7,71
مسئول شیفت پست برق 400kv,7,74
مسئول شیفت پست برق kv400,7,74
مسئول شیفت چیلرخانه و سایر سیستمهای تهویه,7,72
مسئول شیفت کارگاه نئوپان,7,75
مسئول صافکاری,7,72
مسئول صافکاری ونفاشی خودرو,7,72
مسئول صحافی,7,73
مسئول صفحه تراش,7,72
مسئول صندلی سازی چوبی,7,75
مسئول طراح وهارنیش و پانچ بافندگی,7,73
مسئول طراحی قا لب,7,72
مسئول طراحی قلاب و پا کت,7,72
مسئول طراحی قلاب و پالت,7,72
مسئول طراحی و پانچ,7,72
مسئول طراحی وشانه سازی,7,73
مسئول طراحی وغلطک سازی ر,7,72
مسئول عایق,7,71
مسئول عایق زیر بدنه,7,72
مسئول عایق و پلیت بندی,7,72
مسئول عملیات اجرائی پلی اتیلن,7,75
مسئول عملیات اجرایی بتنی,7,71
مسئول عملیات اسفالت ترمیم وموجگیری,7,71
مسئول عملیات اولیه آهنگری,7,72
مسئول عملیات جوشکاری برزینگ,7,72
مسئول عملیات ذوب ریخته گری وتنش زدایی,7,72
مسئول عملیات ساخت وماشینکاری روتور,7,72
مسئول عملیات ما شینکاری,7,72
مسئول عملیات نوسازی تاندیش,7,72
مسئول عملیات نوسازی پاتیل,7,72
مسئول عملیات و تعمیرات فرآوری,7,75
مسئول عملیات و فوریت های برق,7,74
مسئول غلتک سازی تکمیل,7,72
مسئول غلطک سازی وشابلون سازی وطراحی ج,7,73
مسئول فایبرگلاس,7,75
مسئول فرز کاری واسپارک,7,72
مسئول فرزکاری,7,72
مسئول فرم دهی,7,72
مسئول فرم زنی,7,72
مسئول فلزکاری ونصب ترانس وسرگروه مخزن سازی دررا,7,72
مسئول فن آوری وساخت تجهیزات الکترو نیک وابزار دقیق,7,74
مسئول فنروجوشکاری تانک,7,72
مسئول فنرکاری,7,72
مسئول فنی آژیر خطر,7,74
مسئول فنی دوزه سازی,7,72
مسئول فنی ریسندگی ورنگرزی,7,75
مسئول فنی سالن ریسندگی,7,75
مسئول فنی سرویس حلاجی سرپرست,7,75
مسئول فنی سرویس خط اپن اند,7,75
مسئول فنی سرویس کار,7,75
مسئول فنی نت مکانیک تولید الکترود,7,72
مسئول فنی نت مکانیک زیرپودری و سیلوها,7,72
مسئول فنی نت مکانیک مسوار,7,72
مسئول فنی نورد و ماسوره پیچی,7,72
مسئول فنی و بهداشتی عمل آوری پوست,7,75
مسئول فنی و نوسازی کولر,7,74
مسئول فنی وتعمیرات ریخته گری فاندری,7,72
مسئول فنی وتولید کارتن سازی,7,75
مسئول فنی وهماهنگ کننده چتائی بافی,7,75
مسئول فنی کارگاه ذوب دو,7,72
مسئول فنی کارگاه ضایعات فلزی,7,72
مسئول فنی کشش,7,72
مسئول فنی کوره,7,72
مسئول فنی کوره اتوماتیک,7,72
مسئول فوم درب,7,75
مسئول قالب های پلیمری,7,72
مسئول قالبخانه,7,72
مسئول قسمت اسکلت سازی قسمت فلزکاری,7,72
مسئول قسمت دیگ شوفاژ,7,72
مسئول قسمت پرداخت تخته چندلا,7,75
مسئول قطعات برق و ابزار دقیق,7,74
مسئول قطعات تعمیرگاه,7,72
مسئول قطعات ریخته گری و ماشینکاری,7,72
مسئول قطعات چوبی کمپ,7,75
مسئول قوای محر که و تر میم مو نتا ژ زانتیا,7,72
مسئول قوای محرکه,7,72
مسئول قوای محرکه دوگانه سوز,7,72
مسئول قوای محرکه و تریم مونتاژ x100 یک,7,72
مسئول قوای محرکه و تریم مونتاژ ریو,7,72
مسئول قوای محرکه و تریم مونتاژ زانتیا,7,72
مسئول قیرزنی,7,71
مسئول قیچی,7,72
مسئول قیچی ورق,7,72
مسئول لامینه و لاکزنی,7,75
مسئول لحیم کاری,7,74
مسئول لعاب,7,73
مسئول لمینت,7,75
مسئول لوله,7,71
مسئول لوله ریزی مسئول کوره تاب,7,71
مسئول لوله کشی وحرارت مرکزی,7,71
مسئول لوله کشی کامیون,7,72
مسئول لوله کشی گاز صنعتی و ساختمان,7,71
مسئول لیتوگرافی,7,73
مسئول لیزر,7,72
مسئول مارک زنی وبرش,7,72
مسئول ماشین افزاروآماده سازی تجهیزات تعمیرگاه نورد,7,72
مسئول ماشینهای cnc تعمیرگاه نورد,7,72
مسئول مبدل شاپ,7,72
مسئول متصدیان برق صنعتی,7,74
مسئول مدلسازی چوبی,7,75
مسئول مرکزبتن,7,71
مسئول مواد ناریه اسمینون,7,71
مسئول موادناریه,7,71
مسئول موتورخانه,7,72
مسئول موتورخانه برق و هوای فشرده,7,72
مسئول موتورپیچی مرتبط با سالن ریسندگی,7,74
مسئول مونتاژ فلزی,7,72
مسئول مونتاژ و سرویس و پیشگیری مکانیکی,7,72
مسئول مکانیک آبرسانی احیاء وگندله سازی نت آبرسانی,7,72
مسئول مکانیک آبرسانی مرکزی نت آبرسانی,7,72
مسئول مکانیک استخراج,7,72
مسئول مکانیک تاسیسات آب و بخار,7,72
مسئول مکانیک تصفیه خانه فیزیکی,7,72
مسئول مکانیک ثابت و پایپینگ,7,72
مسئول مکانیک جامدات,7,72
مسئول مکانیک خطوط,7,72
مسئول مکانیک دپارتمان پخت سیمان,7,72
مسئول مکانیک سنگ شکن و آسیای مواد,7,72
مسئول مکانیک نوار نقاله ها وشیشه شوئی,7,72
مسئول مکانیک پیشروی,7,72
مسئول مکانیک کرینهای هوائی,7,72
مسئول مکانیک کمپلت,7,72
مسئول مکانیک کوره وپیش گرمکن,7,72
مسئول مکانیکهای وال,7,72
مسئول مکانیکی اولیه,7,72
مسئول میله گذاری,7,71
مسئول نازک کاری,7,71
