id,title_norm,label_1,isco_sub_major_group
47194.0,مسئول دیگ بخارآهنگری,8,
47195.0,مسئول دیگ بخارتفاله سوز تصفیه اب فیزیکی,8,
47196.0,مسئول دیگ بخاروآب صنعتی,8,
47197.0,مسئول دیگ بخارپکیج,8,
47199.0,مسئول ذهتابی و دباغی,7,
47200.0,مسئول ذوب lf,8,
47201.0,مسئول ذوب کوره های پاتیلی و گاززدایی,8,
47203.0,مسئول رادیاتورسازی,7,
47204.0,مسئول رافینگ,8,
47205.0,مسئول رام راش,8,
47206.0,مسئول رانندگان +معدن,8,
47207.0,مسئول رانندگان ماشین آلات کشاوزی,8,
47209.0,مسئول راهبری tbm,8,
47210.0,مسئول راهبری مکانیزم های کارگاهی,8,
47212.0,مسئول ربا ت های سا لن رنگ,8,
47214.0,مسئول رتوش تز ئینات برق و مکا نیک قا ئم به شا غل,7,
47221.0,مسئول رزوه,7,
47226.0,مسئول رسوب گیری,8,
47252.0,مسئول رفو,7,
47254.0,مسئول رلیاژ برق,7,
47258.0,مسئول رنگ آمیزی صنعتی و ماسه زنی,7,
47259.0,مسئول رنگ آمیزی محصول,7,
47260.0,مسئول رنگ اکستریور سایت شمال,7,
47261.0,مسئول رنگ رویه و رتوش کا بین,7,
47262.0,مسئول رنگ رویه و رتوش کابین دو و رتوش موضعی,7,
47263.0,مسئول رنگ سازچاپ کلندر,7,
47264.0,مسئول رنگ سازی روتاری چاپ اسکرین,7,
47265.0,مسئول رنگ وکیلرکاری چوب,7,
47266.0,مسئول رنگرزی تکمیل کتن,7,
47267.0,مسئول رنگرزی تکمیل گردباف,7,
47269.0,مسئول رو توش,7,
47274.0,مسئول روانکاری,7,
47275.0,مسئول روتوش برق و مکا نیک,7,
47276.0,مسئول روتوش تزئینات برق و مکانیک,7,
47277.0,مسئول روتوش تزئینات رنگ وتعمیرات موضعی,7,
47278.0,مسئول روتوش و تعویض قطعات قوای محرکه و انتقال خودروها,7,
47279.0,مسئول روزمزدحمل ونقل,9,
47280.0,مسئول روزکارتعمیرات تاپس,7,
47282.0,مسئول روشنائی,7,
47283.0,مسئول روشنائی برق,7,
47284.0,مسئول روشنایی معابر,7,
47285.0,مسئول روشنایی و سیستم آلارم,7,
47286.0,مسئول روشنایی و سیستم هشدار دهنده,7,
47288.0,مسئول روغنکشی,8,
47289.0,مسئول روغنکشی پنبه دانه,8,
47290.0,مسئول رول بازکنی,8,
47291.0,مسئول رولیاژ,7,
47292.0,مسئول رولیاژ بهره برداری پست ها و شبکه ها,7,
47293.0,مسئول روکش,7,
47294.0,مسئول روکش سفالسپورین خوراکی,7,
47295.0,مسئول روکش پنی سیلین خوراکی,7,
47296.0,مسئول رویه سازی نجاری,7,
47298.0,مسئول رویه کاری,7,
47299.0,مسئول ریخت ذوب مجدد,8,
47300.0,مسئول ریخته گری برنج،ماهیچه گیری,7,
47301.0,مسئول ریل t.b.m,8,
47302.0,مسئول رینگ,8,
47303.0,مسئول رینگ ودولاتاب,8,
47304.0,مسئول ریگری,7,
47313.0,مسئول زیباسازی وتاسیسات,7,
47315.0,مسئول زیر سازی راهها,7,
47316.0,مسئول زیر پودری,8,
47320.0,مسئول زیره بری,7,
47321.0,مسئول زیره سوارکنی,7,
47322.0,مسئول زیمر,8,
47323.0,مسئول سا خت پا لت و قلاب,7,
47326.0,مسئول سا ید ها ی چپ وراست,8,
47327.0,مسئول ساخت استریل,7,
47328.0,مسئول ساخت الکترود,7,
47329.0,مسئول ساخت خمیری و آرایش,7,
47330.0,مسئول ساخت داروئی مایع,7,
47331.0,مسئول ساخت درب وپنجره آهنی,7,
47332.0,مسئول ساخت دکل و نورافکن,7,
47333.0,مسئول ساخت روغن امولسیونشونده,7,
47334.0,مسئول ساخت شوینده ها و مایعات,7,
47335.0,مسئول ساخت ظروف حساس,7,
47336.0,مسئول ساخت غیراستریل پنی سیلین وی,7,
47337.0,مسئول ساخت قالب قطعات فلزی زون,7,
47338.0,مسئول ساخت قالب قطعات پلاستیکی,7,
47339.0,مسئول ساخت قطعات اپتیکی لیزر,7,
47340.0,مسئول ساخت قطعات تولید پیگیری سفارشات,7,
47341.0,مسئول ساخت مایعات,7,
47342.0,مسئول ساخت محصول لیزر فیبری پر توان,7,
47343.0,مسئول ساخت مواد خمیری,7,
47344.0,مسئول ساخت موادخمیری ارایشی,7,
47345.0,مسئول ساخت و اتاق فرمان,8,
47346.0,مسئول ساخت و احداث ایستگاه مترو,7,
47347.0,مسئول ساخت و تعمیرات پالت,7,
47349.0,مسئول ساخت و نوسازی فیکسچر و ابزار,7,
47350.0,مسئول ساخت و نوسازی مرتبه,7,
47351.0,مسئول ساخت وما شینکاری,7,
47352.0,مسئول ساخت وچاپ بطری,7,
47353.0,مسئول ساخت ویال و آمپول,7,
47354.0,مسئول ساخت پلاسی بیس,7,
47359.0,مسئول سازنده سودسوزاور,7,
47362.0,مسئول سالن اره نواری,8,
47363.0,مسئول سالن برشکاری,8,
47364.0,مسئول سالن تکمیل,8,
47365.0,مسئول سالن ساخت شکلات,8,
47366.0,مسئول سالن ساخت پفک,8,
47367.0,مسئول سالن سازی فنی,7,
47368.0,مسئول سالن شستشوی باگاس,8,
47369.0,مسئول سالن صابون سازی وپودر,8,
47370.0,مسئول سالن طلقی,8,
47373.0,مسئول سالن لاک زنی,8,
47374.0,مسئول سالن مایعات و,8,
47375.0,مسئول سالن مقدمات,8,
47377.0,مسئول سالن پنبه پاک کنی,8,
47382.0,مسئول سالون حرارت,8,
47387.0,مسئول سانتریفیوژ,8,
47388.0,مسئول ساگار,7,
47398.0,مسئول ستر,8,
47400.0,مسئول سر ویس های اتو بوس رانی,8,
47401.0,مسئول سر ویس و تعمیرات تصفیه خا نه ها,7,
47402.0,مسئول سراجی,7,
47403.0,مسئول سربندی,7,
47404.0,مسئول سرسیلوهای سیمان,8,
47405.0,مسئول سرسیلوهای موادخام,8,
47406.0,مسئول سرمایش,7,
47407.0,مسئول سرند,8,
47410.0,مسئول سرویس خودروها گاراژ,7,
47412.0,مسئول سرویس روغن,7,
47413.0,مسئول سرویس لیفتراک,8,
47416.0,مسئول سرویس مونتاژ و تست,8,
47417.0,مسئول سرویس نگهداری بافندگی,7,
47418.0,مسئول سرویس هاوتعمیرات پمپ ها,7,
47419.0,مسئول سرویس های پسماند و پساب,8,
47420.0,مسئول سرویس و پنچرگیری,7,
47421.0,مسئول سرویس وتعمیرات دیزل,7,
47422.0,مسئول سرویس ونگهداری شبکه فشارقوی برق,7,
47423.0,مسئول سرویس ونگهداری کمپرسورها,7,
47425.0,مسئول سرویسکار سالن استرچ,7,
47426.0,مسئول سرویسکاری وآپاراتی,7,
47428.0,مسئول سریکاری و cnc,7,
47435.0,مسئول سفیدگری قدیم رنگرزی,7,
47440.0,مسئول سمباده کار,7,
47444.0,مسئول سنباده,7,
47445.0,مسئول سنباده زنی,7,
47446.0,مسئول سنجاق زنی,8,
47449.0,مسئول سند بلاست و رنگ,7,
47451.0,مسئول سنگ آهک وکنترل بونکر,8,
47452.0,مسئول سنگ شکن وبتون ساز,7,
47453.0,مسئول سنگزنی ودریافت توزیع قطعات تولیدی,7,
47457.0,مسئول سوخت رسانی,8,
47458.0,مسئول سوخت ومازوتخانه,8,
47459.0,مسئول سوراخکاری,7,
47461.0,مسئول سپراتور,8,
47462.0,مسئول سکو,8,
47463.0,مسئول سیالات آب و گاز,7,
47468.0,مسئول سیستم شستشو و کاتافورز,8,
47476.0,مسئول سیستم های فشرده,8,
47484.0,مسئول سیستم هوای فشرده کمپرسور,8,
47498.0,مسئول سیلرزنی دو,7,
47499.0,مسئول سیلرکاری,7,
47500.0,مسئول سیلندر پرکنی,8,
47501.0,مسئول سیلندرسازی وآبکاری,7,
47502.0,مسئول سیلندرپرکنی واحدeo,8,
47503.0,مسئول سیلو ر,8,
47504.0,مسئول سیلوخمیرزنی,8,
47505.0,مسئول سیلوی روباز,8,
47506.0,مسئول سیلوی فلزی,8,
47507.0,مسئول سیلوی مواد,8,
47508.0,مسئول سیلوی گندم,8,
47509.0,مسئول سیلک,7,
47510.0,مسئول سیم سازی,7,
47511.0,مسئول سیم پیچی,7,
47512.0,مسئول سیم پیچی موتورها,7,
47513.0,مسئول سیمهاوپایه هاخط هوائی ژ باقفلیها,7,
47516.0,مسئول سیکلونها,8,
47517.0,مسئول سیگنالینگ,8,
47519.0,مسئول شارژ اکسیژن,8,
47520.0,مسئول شارژ تغذیه کوره,8,
47521.0,مسئول شارژ کوره ها,8,
47522.0,مسئول شارژ کوره ها ریخته گری,8,
47523.0,مسئول شارژذوب,8,
47524.0,مسئول شارژوچوپ خردکنی,8,
47525.0,مسئول شاسی سازی کمپ,7,
47526.0,مسئول شاسی سنگین,7,
47527.0,مسئول شاسی مکانیک,7,
47528.0,مسئول شاسی و زیربندی,7,
47529.0,مسئول شاقوکاری کوره های بخاروآهک,7,
47530.0,مسئول شانتینگ یارد,8,
47531.0,مسئول شانه سازی,7,
47546.0,مسئول شتتشو و رنگ آستری,7,
47547.0,مسئول شتشو,9,
47548.0,مسئول شستشو و رنگ,7,
47549.0,مسئول شستشو و پرکنی,8,
47550.0,مسئول شستشو والکتروفر وز,7,
47551.0,مسئول شستشولعاب,7,
47552.0,مسئول شستشوی تفاله,9,
47553.0,مسئول شستشوی موتوروزنگزدائی وروغنکاری,7,
47554.0,مسئول شستشوی کوئل,7,
47555.0,مسئول شستو,9,
47557.0,مسئول شعبه اتصال کولر,7,
47559.0,مسئول شعبه بخاری,7,
47569.0,مسئول شعبه تغلیظ و آهک,8,
47570.0,مسئول شعبه شستشوی فسفاته,7,
47571.0,مسئول شعبه صافکاری رنگ,7,
47575.0,مسئول شعبه نجاری,7,
47577.0,مسئول شفت اسپلایسر,7,
47589.0,مسئول شوینده,7,
47590.0,مسئول شکل دهی آجر,7,
47591.0,مسئول شیب و شیو,9,
47592.0,مسئول شیرآلات,7,
47594.0,مسئول شیف ت مکانیزه,8,
47595.0,مسئول شیفت b.m.d,8,
47596.0,مسئول شیفت cam,8,
47598.0,مسئول شیفت mv hv,8,
