title_norm,label_1,level_2
erpسرپرست پروژه پیاده سازی مجدد,1,13
h.s.e رئیس,1,13
hse رئیس کنترل فرآیند و,1,13
ims رئیس طرح و برنامه و,1,12
imsسرپرست,1,12
rfمسئول,1,13
vipمسئول تخصیص سازمانی و,1,12
آتش نشان و سرپرست آتش نشان,1,13
آموزش و نظارت برعملکرد نیروی انسانی در آشپزخانه,1,14
آموزگار شاغل درپست مدیر کل امور مالی و ا,1,12
آموزگارشاغل درپست رییس اداره حراست,1,13
ئول بهداشت وتنظیم خانواده,1,13
ابلاغ مسئول شیفت خط کپه یاتاقان,1,13
اجرای سیاست های کل بخش,1,11
ادار کل راه روستایی,1,11
اداره آب و فاضلاب,1,11
اداره اتش نشانی اداره کل امور رفاهی وخدمات معاون اداره اتش نشانی,1,13
اداره ارتباطات وعلائم الکتریکی اداره کل راهن جنوب رئیس گروه نظ,1,13
اداره اصناف,1,11
اداره افرزیس,1,13
اداره امار فنی اداره کل سیروحرکت رئیس اداره امار فنی,1,13
اداره امور اداری اداره کل امور رفاهی وخدمات معاون اداره امور ادا,1,12
اداره امور اداری اداره کل مخازن واموال معاون اداره امور اداری,1,12
اداره امور ایستگاهها وقطارها اداره کل سیروحرکت مسئول نظارت بر امو,1,13
اداره امور خریدها اداره کل تدارکات رئیس اداره امور خریدها,1,12
اداره امور عمومی دفتر روابط عمومیرئیس اداره امور عمومی,1,12
اداره امور مالی و اموال اداره کل راه آهن,1,12
اداره امور ناوگان اداره کل راه آهن فارس,1,13
اداره امور ناوگان اداره کل راه اهن اصفهان مسئول دپو کاشان,1,13
اداره امور ناوگان اداره کل راه اهن تهران مسئول دپو اپرین,1,13
اداره امور ناوگان اداره کل راه اهن جنوب مسئول دپو ایستگاه اهواز,1,13
اداره امور ناوگان اداره کل راه اهن شمال مسئول اموربازدید وسرویس,1,13
اداره امور ناوگان اداره کل راه اهن قم معاون اداره امور راهبری قطا,1,13
اداره امور ناوگان اداره کل راه اهن لرستان مسئول دپو دورود,1,13
اداره اموررفاهی وخدمات اداره کل راه اهن اذربایجان رئیس اداره امو,1,12
اداره اموررفاهی وخدمات اداره کل راه اهن خراسان رئیس اداره امور ر,1,12
اداره اموررفاهی وخدمات اداره کل راه اهن یزد رئیس اداره امور رفاهی,1,12
اداره بازرسی کار,1,11
اداره برق,1,13
اداره تامین انرژی خط برقی اداره کل راه آ,1,13
اداره حراست اداره کل راه اهن اراک رئیس اداره حراست,1,13
اداره حراست اداره کل راه اهن زاگرس معاون اداره حراست,1,13
اداره دریافت وپرداخت اداره کل امور مالی رئیس اداره دریافت وپرداخ,1,12
اداره راه,1,13
اداره روستا,1,11
اداره سیر و حرکت اداره کل راه اهن جنوب رئیس گار اهواز,1,13
اداره سیر و حرکت اداره کل راه اهن جنوب رئیس گار بندرامام,1,13
اداره سیر و حرکت اداره کل راه اهن لرستان رئیس گار دورود,1,13
اداره سیروحرکت,1,13
اداره سیروحرکت معاون گار,1,13
اداره شبکه ونوسازی اداره کل راه اهن اذربایجان معاون اداره شبکه نو,1,13
اداره قراردادها اداره کل تدارکات و پشتیبانی رئیس اداره امور قرارد,1,12
اداره مالیات,1,12
اداره پیگیری ووصول درامدهای داخلی اداره کل امور مالی معاون اداره,1,12
اداره کار,1,12
اداره کردن مدرسه,1,13
اداره کل ارزیابی و تعیین خسارات,1,13
اداره کل امور پیمان ها و رسیدگی فنی,1,13
اداره کل ایمنی و نظارت بر شبکه مدیرکل,1,13
اداره کل بازرسی و نظارت فنی,1,13
اداره کل بازرگانی وبازاریابیمدیرکل,1,12
اداره کل بحران,1,12
اداره کل بهره برداری,1,13
اداره کل تدارکات و سفارش طرح ها,1,12
اداره کل خدمات ساختمانی و ایستگاهی مدیرکل,1,13
اداره کل دفاتر نمایندگان,1,12
اداره کل راه آهن فارس مدیر پایانه آباده,1,13
اداره کل راه اهن اراکمدیرکل,1,11
اداره کل راه اهن اصفهان مدیر پایانه کاشان,1,13
اداره کل راه اهن اصفهان معاون مدیرکل پیگیری و هماهنگی,1,12
اداره کل راه اهن تهران مدیر پایانه اپرین,1,13
اداره کل راه اهن تهران معاون مدیرکل فنی و زیربنایی,1,13
اداره کل راه اهن جنوب مدیر پایانه بندر امام خمینی,1,13
اداره کل راه اهن جنوب مدیر پایانه خرمشهر,1,13
اداره کل راه اهن خراسان رئیس اداره پیگیری,1,12
اداره کل راه اهن شرق مدیر پایانه تربت حیدریه,1,13
اداره کل راه اهن شمالشرق مدیر پایانه سمنان,1,13
اداره کل راه اهن شمالغرب رئیس اداره امور عمومی,1,12
اداره کل راه اهن شمالغرب رئیس گروه بازرسی اداری ومالی,1,12
اداره کل راه اهن شمالمدیرکل,1,11
اداره کل راه اهن قم معاون مدیرکل فنی,1,13
اداره کل راه اهن لرستان مدیرکل,1,11
اداره کل راه اهن هرمزگان مدیر پایانه سیرجان,1,13
اداره کل راه اهن هرمزگان معاون ایستگاه,1,13
اداره کل راه اهن کرمان مدیر پایانه زرند,1,13
اداره کل راه اهن یزد مدیر پایانه بافق,1,13
اداره کل راه اهن یزدمدیرکل,1,11
اداره کل روسازی و ساختمان,1,13
اداره کل ساخت توسعه راهها منطقه دو,1,13
اداره کل ساخت ساختمان راه اهن,1,13
اداره کل ساخت وتوسعه راه اهن بنادروفرودگاهها,1,13
اداره کل ساختمان های فنی و اداری,1,13
اداره کل ساماندهی ماشین الات,1,13
اداره کل مخازن واموالمدیرکل,1,13
اداره کل نوسازی آموزش و پرورش,1,13
ارتشبد نیروی زمینی,1,11
ارتشبد نیروی هوایی,1,11
ارشدتولید,1,13
استاندار,1,11
استاندار زنجان,1,11
اسیاب رئیس اداره اسیابها,1,13
اعضای شورای امنیت کشور,1,11
اعضای هیات مدیره الف,1,11
افسر ارشد شیفت حفاظت فیزیکی,1,13
اموراجرائی,1,12
امورداخلی,1,12
امورشهری,1,11
امورعمرانی,1,13
امورپروژه,1,13
انتخاب استخدام و جذب کارکنان آشپزخانه,1,12
انتظامی فرمانده پاسگاه رباط فرهنگ,1,13
انجام وظایف رییس اداره خوابگاهها,1,14
انجام کارهای اجرایی ومعاونت مدرسه,1,13
انجام کارهای مدیریت دردبستان,1,13
انجام کارهای معاونت,1,12
انجام کلیه امور اجرایی,1,12
اپراتور ناظر شیفت,1,13
اپراتورارشدوسرپرست قسمت,1,13
اکچوئر داخلی,1,13
ایجاد مشاغل نیروگاه نکا,1,12
با حفظ سمت سرپرست پرسکاری,1,13
با حفظ سمت کارگردی کویلر قالبند پرس ومسئول دکویلر,1,13
باتزرس کل,1,11
بارج فورمن,1,13
بارج مستر,1,13
بازرس ارشد رتبه ب رده رده مدیریتی,1,13
بازرس ارشد رتبه دو,1,13
بازرس ارشد رتبه سه,1,13
بازرس ارشد رتبه چهار,1,13
بازرس ارشد همتراز با رئیس شعبه ممتاز الف,1,12
بازرس ارشد همترازمعاون مدیریت شعب رتبه دو,1,12
بازرس خبره رتبه رئیس حوزه درجه1,1,13
بازرس خبره همتراز رئیس شعبه ممتازب,1,12
بازرس رئیس گروه بازرسی,1,13
بازرس قضائی مدیرکل,1,11
بازرس همترازرئیس دایره درجه1 رتبه دو,1,12
بازرس همترازمعاون شعبه درجه2 رتبه یک,1,12
بازرس هیات نظارت,1,11
بازرس وسرپرست شیفت,1,13
بازرس ویژه مدیرعامل همترازمدیرامور رتبه ممتاز,1,11
بازرس ویژه مدیرعامل ومدیرشرکتهای سرمایه پذیر,1,11
بازرس ویژه هیات مدیره همتراز رئیس اداره رتبه,1,11
بازرس ویژه و نماینده مدیریت,1,11
بازرس کل امور منصور حسن پورمرنی,1,11
باشگاه دار,1,14
باشگاه فوتبال,1,14
بانام,1,12
بانام همتراز معاون اداری مالی,1,12
بانام همتراز معاون دانشجویی وفرهنگی,1,13
بانک ایران وهلند رئیس نمایندگی یاکفیل نمایندگی,1,12
بانک بازرگانی عضوارشدمنطقه,1,12
بانک شهریار عضوارشدشاغل درشعب,1,12
بانکدار عالی,1,12
بانکدار مسئول دریافت وپرداخت رئیس دایره درجه3,1,12
بانکدار همتراز معاون شعبه درجه5 رتبه یک,1,12
بانکدارارشد همترازرئیس دایره درجه1 رتبه یک,1,12
بخش مشارکت,1,12
بخشدار,1,11
بخشدار ابدان,1,11
بخشدار احمد عمویی,1,11
بخشدار ارسک,1,11
