id,title_norm,label_1
0,سرپرست کوره بخار و تصفیه آب,3
1,فورمن سفارشات مکانیک,3
2,قائم مقام مدیر عامل در حوزه کیفیت و مهندسی,1
3,متصدی کارگاه و عمران ساختمان,3
4,مسئول ایستگاه هواشناسی سینوپتیک اصلی,1
5,قائم مقام مدیرعامل,1
6,کارشناس تحقیقات کاربردی,2
7,کارشناس امور دهیاری ها و شوراها,2
8,کمک راننده کامیون یدک کش,9
9,کارگرخشک کن عقب ماشین ص,8
10,تکنیسین مسیول تولید,3
11,سرپرست امنیت و شبکه,3
12,متصدی تشخیص و توزیع,4
13,متصدی تیغه تیز کن,7
14,مدیرتولیدات,1
15,کارگر سایت پسماند,9
16,کارگر سند بلاست,7
17,کارگر شستشو خودرویی,9
18,مهندس نگهداری و تعمیرات ابزاردقیق سرویسهای آب و برق و بخار,2
19,کارشناس امور سهام و مجامع,2
20,کارشناس ومسئول خریدتجهیزات جانبی,2
21,کارشناس پشتیبانی سیستم و برنامه ریزی فروش,2
22,کارگرسرپرست قوطی سازی,3
23,بسته بندوکارتن زن دستی,9
24,اپراتوردستگاه های انتقال مواد,8
25,تکنیسین تعمیرات مکانیک دروگرها,3
26,تکنیسین تعمیرات مکانیک موتوری,3
27,جرثقیل چی مگنت اهن ربا زنی,8
28,رئیس ایستگاه کارشناس آتش نشانی,3
29,متصدی دستگاه شالیکوبی,8
30,نصب کاغذ دیواری,7
31,متصدی دیگهای بخار اب وبخار,8
32,کارشناس مهندسی کامپوننت سطح 3,2
33,متصدی کنترل ماشین آلات گرماآمایی شیمیایی مواد,8
34,کارگر پرکن بالمیل,8
35,کارشناس مسئول بهره برداری معادن,2
36,کارشناس بومی سازی مواد قطعات و تجهیزات,2
37,کارشناس برنامه ریزی خدمات مشتریان,2
38,مغازه سوپر گوشت,5
39,کارشناس کنترل کیفی ریخته گری,2
40,کارشناس مسئول برنامه ریزی نظارت و ارزشیابی و امور,2
41,کارشناس مسئول برنامهریزی و ارزشیابی اسناد و مدارک حقوقی و قضائی ک,2
42,کارمند دفتر تابل,4
43,کمک اپراتور تولید لاستیک زهوار,8
44,استوار یکم نیروی زمینی,3
45,کارگروکارمندماشینکارریخته گری فاندری,7
46,برق ابزاردقیق,7
47,تکنسین تهیه محلول بخش اکریلیک,3
48,رئیس حوزه مالی و اداری,1
49,رئیس دایره فروش,1
50,پیستوله کارفنکویل,7
51,خاموش کردن اتش,5
52,رئیس تعمیرات ماشین آلات تولید,1
53,راننده ماشینهای راهسازی وساختمانی بلدوزر,8
54,مسئول اموربازنشستگان,3
55,مسئول انبار مواد اولیه و اتاق های توزین,3
56,مسئول انبار مواد و اقلام بسته بندی,3
57,کارگر سرند,9
58,کارشناس امور املاک و اسناد و دبیر هیئت,2
59,مهندس مقیم کارگاه,2
60,کارشناس امور رفاهی و بازنشستگی,2
61,کارشناس مسئول اداری ومالی,2
62,کارشناس مامور مدیریت منابع انسانی,2
63,کارشناس مسئول اداره امور دانشجویی,2
64,مهندس فروش,2
65,معاون مدیر اموال وبیمه,1
66,مراقب دستگاه پالایش,8
67,کارشناس مسئول ارزیابی شایستگی,2
68,کارشناس مهندسی و کیفیت ارشد,2
69,کارگرساده وصافکاری,7
70,انباردار ناحیه نورد سرد,4
71,انبارداردرجه دوموادبسته بندی انباربهداشتی,4
72,اپراتور پودرزنی,8
73,رئیس بخش تغذیه,1
74,حسابداران,2
75,سرپرست ارشدموتورپیچی برق,3
76,سرپرست اهنگری ونوسازی,3
77,رییس تولید پودر جوشکاری,1
78,رییس راهبری و تعمیرات جرثقیلها و ترانسفرکارها,1
79,شیفت انبار مجتمع,4
80,مشاور معاونت روابط کار,2
81,معاون روابط کار,1
82,کارگر ارشد تولید درجه 2,8
83,کارگر انبار بازیافت,9
84,اپراتور تابلوهای کنترل و کمپرسورها,8
85,اپراتور دستگاه برش ورق کروگیت,8
86,اپراتورفرمینگ,8
87,تکنسین مکانیک ابرسانی,3
88,تعمیرکاردستگاههای سنگین,7
89,رئیس اداره تعمیرات تجهیزات آنالوگ,1
90,سرکارگر انبار شیمیایی,3
91,سرکارگرخطوط,3
92,ماشینکار تسمه پروانه دنده ای,7
93,سرپرست امور ورزش و تفریحات سالم,3
94,مدیر امور نگهداری و تعمیرات مکانیک سیستم های دوار,1
95,مدیر امورحقوقی و پیمانها,1
96,کاردان ابنیه فنی,3
97,مسئول خط دیزلی تراش,3
98,نگهبان برج,5
99,کارگران فنی تاسیسات و لوله کشی,7
100,کارگرانبارمحصول ومواداولیه وجابجائی عدلهای ک,9
101,کارگرتاسیسات خطوط تولید,7
102,کارگرتعمیرات تصفیه خانه ودستگاههای بازیابی,7
103,کارگزار بنگاه مسکن,3
104,کمک مکانیک هشت لا,9
105,کمک پیشکارکفش های پاشنه بلند,9
106,جوشکار درجه2,7
107,جوشکارواهنگراطاقسازی کامیون,7
108,رئیس گروه مطالعات فناوری نو,1
109,رئیس گروه مهندسی مکانیک,1
110,سرپرست آزمایشگاه شیمی و پلیمر,3
111,رییس اداره فناوری اطلاعات وارتباطات,1
112,متصدی تعمیرات متفرقه,7
113,مدیرعامل تعاونی مسکن,1
114,نظارت بربسته بندی کاشی,3
115,کارشناس فروش تلفنی,5
116,کارشناس فرایند فولادسازی و ریخته گری مداوم,2
117,کارشناس شناسایی و پیگیری,2
118,کارگرمکانیک ماشین الات صنعتی تولیدسیلندر,7
119,کارگرچرم زنی,7
120,استاد بنایی سفت کار,7
121,کارگر کارگاه تولیدی,9
122,اپراتور تولید مواد خام,8
123,کمک بناء شاقوکارکوره های بخار,9
124,اپراتور ماشینکاری cam,8
125,تعمیر خودروهای سنگین,7
126,تعمیر و نصب آسانسور,7
127,تکنسین مسیول تاسیسات و تجهیزات,3
128,تکنسین مکانیک بویینگ و فوکر,3
129,تکنسین نت یجینگ و سیستم حفاظت الکترونیک,3
130,رئیس اداره تدارکات کارشناس,1
131,رئیس کارگاه ابزارسازی,1
132,سرپرستار بخش طبی گوارش,2
133,سرپرستتراشکاری,3
134,ماشین چی مبتدی,8
135,کارمند فروش و وصول مطالبات,4
136,مسئول کنترل و نگهداری کالا,4
137,کارمند حسابداری صنعتی کارخانه,4
138,پرسکاری واحد انبار ضایعات,8
139,کارشناس اسناد و تعهدات,2
140,کارشناس ناظر مقیم امور عمرانی,2
141,کارشناس امار اطلاعات وبرنامه ریزی,2
142,کارشناس عملیات صادرات خدمات فنی,2
143,نوبتکار ارشد اتاق کنترل واحد دانه بندی pp hdpe ll,3
144,کارگرکاغذدیواری میکسینگ کلندرجدید,8
145,اپراتورعملیات سنگ شکن تغلیظ,8
146,کمک بخار,9
147,تکنسین مسیول تست وتنظیم رله پست ها,3
148,بایگان دفتر فنی,4
149,رئیس اداره ثبت اسناد و املاک استان یا شهرستان,1
150,رئیس نوبتکاری نگهداری و تعمیرات برق,1
151,رئیس واحد بوتن یک کارخانه پلی اتیلن سبک خطی و بوتن یکlldpe,1
152,رئیس اداره برق رضی,1
153,مدیر ارشد مالی,1
154,مدیر امور اداری و پیشتیبانی,1
155,کارشناس حقوق ثبتی و قراردادها,2
156,مربی باشگاه,3
157,کارشناس امورمالی خبرنامه,2
158,کارشناس مسئول بازرسی کنترل کیفیت,2
159,کارشناس بازرگانی وبازاریانی,2
160,کارتن باندزن شیشه گذاری قسمت پرکنی سوسپانسیون,8
161,کارگرانبارکالا,9
162,کارمند پیمانی مهمانسراها,4
163,استاد کار سیم پیچی,7
164,اپراتور ریخته گری و کوره کاری,8
165,رئیس اداره مدیریت توسعه و پشتیبانی سیستمها و فرآیندها,1
166,رئیس اداره کل پشتیبانی و املاک,1
167,سرپرست اداره سخت افزار,1
168,رئیس دایره حوالجات,1
169,شابلونسازوو,7
170,شناورکارشناس امورسیاسی اداره امور مجلس,2
171,مامور گشت و انتظامات,5
172,کارشناس مسئول نظارت وازمایش وتحویل رادیو,2
173,کارشناس جذب انتقالات ترفیعات و آمار و اطلاعات پرسنلی,2
174,کاردان مسیول نظارت بر سیستمهای انتقال,3
175,کاردان پذیرش،امار و مدارک پزشکی,3
176,پرورش دهنده بز,6
177,مکانیک تولیدورق,7
178,کارشناس حسابرسی عملیات خرید,2
179,مسئول حفاظت بهداشت,3
180,کارگرماهرسیمبان,7
181,سرکارگرتراشکارلوله متری,3
182,اپراتور مسیول هیدروژن سازی و کلرزنی,8
183,کارشناس و رئیس دایره امور مالی و تجهیز منابع,1
184,مسئول کنترل محصول نهایی توزیع,4
185,کارشناس ارتباط جمعی و مسئولیتهای اجتماعی,2
186,اداره امور ناوگان اداره کل راه اهن شمال رئیس اداره ناوگان,1
187,اپراتور دستگاه تسمه کش تولید مقوا و کارتن,8
188,کمک کارشناس امورهواپیمایی,3
189,بازرس برق خطوط اسکین پاس و تمپر میل,3
190,بازرس تضمین کیفیت درگالوانیزه,3
191,تکنسین برنامه ریزی و کنترل نگهداری و تعمیرات کلاف پیچ,3
192,سرپرست واحد بخاروتصفیه اب,3
193,فورمن تعمیرگاه مرکزی,3
194,قالب بندوتعمیرکارتراشکاری,7
195,متصدی کوره بیسکویت,8
196,مسئول برنامه ریزی کنترل پروژه ومواد سایت,3
197,مدرس قران,2
198,کارمندخدمات اجتماعی,3
199,کارشناس ناظر زیست محیطی پروژه های خطی,2
200,کارگرکمک اپراتورتولیدتوزین موادسالن خطتولید,9
201,اداره کل راه اهن شمالغرب کارشناس مسئول روابط عمومی,2
202,اپراتور حمل و نقل تهویه,8
203,اپراتور دستگاه اکسترودر چوب,8
204,کمک اپراتورفنی,8
205,تکنسین مسئول بازدید و تعمیرات شبکه,3
206,رئیس اداره بهره برداری پستهای ناحیه اردبیل,1
207,رئیس اداره حفظ نباتات,1
208,سرشیفت پای کوره,3
209,سرویس دهنده خطوط بسته بندی ارایشی وبهداشتی,8
210,سرکارگرنخ تابی,3
211,ماسوره پیچ رینگ,8
212,کارگر تولید پودر,9
213,کارشناس دو بودجه و گزارشات,2
214,مسئول کارشناس پدافند غیر عامل,2
215,مکانیک ماشین الات ارشد,7
216,کارگر تزریق,8
217,مسئول نگهداری و تعمیرات ابزار دقیق سرویسهای آب و برق و بخار و نیروگاه گازی,3
218,کارشناس مسئول کنترل و بررسی عملکرد فنی,2
219,مکانیک ماشین های بافندگی,7
220,مسئول تعمیرات تاسیسات تهویه,3
221,کارشناس مسئول کمپین تبلیغاتی,2
222,مسئول ماشین کاری وقالبسازی,3
223,کارشناس مسئول حوزه نمایندگی ولی فقیه درامورمناب,2
224,چرخکار صنعتی,8
225,کارشناس کنترل و ارزیابی نمایندگی,2
226,کارشناس حسابدار مالی,2
227,کارگرامورمتفرقه اسیاب سیمان,9
228,کارمند بخش صندوق,4
229,گروه نظارت بر توسعه علائم الکتریکی اداره کل ارتباطات و علائم الکت,3
230,بخشدارمرکزی اشنویه,1
231,برشکاربرشکاری,7
232,اپراتورکمپرسورخانه ذوب,8
233,تکنسین تعمیرات سیستمهای اندازه گیری,3
234,تکنسین تعمیرات پیشگیری ریخته گری مداوم,3
235,حسابدار سرابی,2
236,رییس اداره کشت و بهره برداری,1
